"","ID","bacterial_genus","replicate","minute","trait_name","trait_value"
"1","Sch_AE103_02","Flavobacterium",1,22,"Log (cells/mL)",5.30102999566398
"2","Sch_AE103_02","Flavobacterium",1,304,"Log (cells/mL)",5.30102999566398
"3","Sch_AE103_02","Flavobacterium",1,594,"Log (cells/mL)",6.9912260756925
"4","Sch_AE103_02","Flavobacterium",1,894,"Log (cells/mL)",8.0948203803548
"5","Sch_AE103_02","Flavobacterium",1,1231,"Log (cells/mL)",8.3583156400822
"6","Sch_AE103_02","Flavobacterium",1,1479,"Log (cells/mL)",8.46029632675748
"7","Sch_AE103_02","Flavobacterium",1,1794,"Log (cells/mL)",8.24748226067705
"8","Sch_AE103_02","Flavobacterium",1,2092,"Log (cells/mL)",8.30749603791321
"9","Sch_AE103_02","Flavobacterium",1,2421,"Log (cells/mL)",8.64875021269802
"10","Sch_AE103_02","Flavobacterium",1,2694,"Log (cells/mL)",8.50839503313305
"12","Sch_AE103_02","Flavobacterium",2,22,"Log (cells/mL)",5.60205999132796
"13","Sch_AE103_02","Flavobacterium",2,304,"Log (cells/mL)",5.60205999132796
"14","Sch_AE103_02","Flavobacterium",2,594,"Log (cells/mL)",6.57978359661681
"15","Sch_AE103_02","Flavobacterium",2,894,"Log (cells/mL)",8.51108084553912
"16","Sch_AE103_02","Flavobacterium",2,1231,"Log (cells/mL)",8.71416204609885
"17","Sch_AE103_02","Flavobacterium",2,1479,"Log (cells/mL)",8.58883172559421
"18","Sch_AE103_02","Flavobacterium",2,1794,"Log (cells/mL)",8.78731875662455
"19","Sch_AE103_02","Flavobacterium",2,2092,"Log (cells/mL)",8.80250006776439
"20","Sch_AE103_02","Flavobacterium",2,2421,"Log (cells/mL)",8.69214160936678
"21","Sch_AE103_02","Flavobacterium",2,2694,"Log (cells/mL)",8.94527158150771
"22","Sch_AE103_02","Flavobacterium",2,3012,"Log (cells/mL)",8.36772854608698
"23","Sch_AE103_02","Flavobacterium",3,22,"Log (cells/mL)",5.30102999566398
"25","Sch_AE103_02","Flavobacterium",3,594,"Log (cells/mL)",5.77815125038364
"26","Sch_AE103_02","Flavobacterium",3,894,"Log (cells/mL)",7.77959649125782
"27","Sch_AE103_02","Flavobacterium",3,1231,"Log (cells/mL)",8.15411952551585
"28","Sch_AE103_02","Flavobacterium",3,1479,"Log (cells/mL)",8.01535975540921
"29","Sch_AE103_02","Flavobacterium",3,1794,"Log (cells/mL)",7.53402610605614
"30","Sch_AE103_02","Flavobacterium",3,2092,"Log (cells/mL)",7.67942789661212
"31","Sch_AE103_02","Flavobacterium",3,2421,"Log (cells/mL)",7.81157500587059
"32","Sch_AE103_02","Flavobacterium",3,2694,"Log (cells/mL)",7.86093662070009
"34","Sch_AE103_02","Flavobacterium",4,22,"Log (cells/mL)",5.60205999132796
"36","Sch_AE103_02","Flavobacterium",4,594,"Log (cells/mL)",7.71096311899528
"37","Sch_AE103_02","Flavobacterium",4,894,"Log (cells/mL)",7.00860017176192
"38","Sch_AE103_02","Flavobacterium",4,1231,"Log (cells/mL)",8.3155505344219
"39","Sch_AE103_02","Flavobacterium",4,1479,"Log (cells/mL)",8.55339751012388
"40","Sch_AE103_02","Flavobacterium",4,1794,"Log (cells/mL)",8.63407402548747
"41","Sch_AE103_02","Flavobacterium",4,2092,"Log (cells/mL)",8.77217496082461
"42","Sch_AE103_02","Flavobacterium",4,2421,"Log (cells/mL)",8.97211022840283
"43","Sch_AE103_02","Flavobacterium",4,2694,"Log (cells/mL)",8.63608651510307
"44","Sch_AE103_02","Flavobacterium",4,3012,"Log (cells/mL)",8.67430988894148
"45","Sch_AE103_02","Flavobacterium",1,52,"Absorbance (600nm)",0.089
"46","Sch_AE103_02","Flavobacterium",1,333,"Absorbance (600nm)",0.096
"47","Sch_AE103_02","Flavobacterium",1,622,"Absorbance (600nm)",0.099
"48","Sch_AE103_02","Flavobacterium",1,921,"Absorbance (600nm)",0.153
"49","Sch_AE103_02","Flavobacterium",1,1258,"Absorbance (600nm)",0.201
"50","Sch_AE103_02","Flavobacterium",1,1507,"Absorbance (600nm)",0.207
"51","Sch_AE103_02","Flavobacterium",1,1827,"Absorbance (600nm)",0.219
"52","Sch_AE103_02","Flavobacterium",1,2120,"Absorbance (600nm)",0.236
"53","Sch_AE103_02","Flavobacterium",1,2449,"Absorbance (600nm)",0.256
"54","Sch_AE103_02","Flavobacterium",1,2722,"Absorbance (600nm)",0.28
"55","Sch_AE103_02","Flavobacterium",1,3034,"Absorbance (600nm)",0.302
"56","Sch_AE103_02","Flavobacterium",2,52,"Absorbance (600nm)",0.09
"57","Sch_AE103_02","Flavobacterium",2,333,"Absorbance (600nm)",0.095
"58","Sch_AE103_02","Flavobacterium",2,622,"Absorbance (600nm)",0.098
"59","Sch_AE103_02","Flavobacterium",2,921,"Absorbance (600nm)",0.157
"60","Sch_AE103_02","Flavobacterium",2,1258,"Absorbance (600nm)",0.162
"61","Sch_AE103_02","Flavobacterium",2,1507,"Absorbance (600nm)",0.176
"62","Sch_AE103_02","Flavobacterium",2,1827,"Absorbance (600nm)",0.189
"63","Sch_AE103_02","Flavobacterium",2,2120,"Absorbance (600nm)",0.189
"64","Sch_AE103_02","Flavobacterium",2,2449,"Absorbance (600nm)",0.201
"65","Sch_AE103_02","Flavobacterium",2,2722,"Absorbance (600nm)",0.226
"66","Sch_AE103_02","Flavobacterium",2,3034,"Absorbance (600nm)",0.226
"67","Sch_AE103_02","Flavobacterium",3,52,"Absorbance (600nm)",0.089
"68","Sch_AE103_02","Flavobacterium",3,333,"Absorbance (600nm)",0.093
"69","Sch_AE103_02","Flavobacterium",3,622,"Absorbance (600nm)",0.09
"70","Sch_AE103_02","Flavobacterium",3,921,"Absorbance (600nm)",0.143
"71","Sch_AE103_02","Flavobacterium",3,1258,"Absorbance (600nm)",0.174
"72","Sch_AE103_02","Flavobacterium",3,1507,"Absorbance (600nm)",0.187
"73","Sch_AE103_02","Flavobacterium",3,1827,"Absorbance (600nm)",0.198
"74","Sch_AE103_02","Flavobacterium",3,2120,"Absorbance (600nm)",0.206
"75","Sch_AE103_02","Flavobacterium",3,2449,"Absorbance (600nm)",0.21
"76","Sch_AE103_02","Flavobacterium",3,2722,"Absorbance (600nm)",0.234
"77","Sch_AE103_02","Flavobacterium",3,3034,"Absorbance (600nm)",0.261
"78","Sch_AE103_02","Flavobacterium",4,52,"Absorbance (600nm)",0.09
"79","Sch_AE103_02","Flavobacterium",4,333,"Absorbance (600nm)",0.092
"80","Sch_AE103_02","Flavobacterium",4,622,"Absorbance (600nm)",0.104
"81","Sch_AE103_02","Flavobacterium",4,921,"Absorbance (600nm)",0.159
"82","Sch_AE103_02","Flavobacterium",4,1258,"Absorbance (600nm)",0.191
"83","Sch_AE103_02","Flavobacterium",4,1507,"Absorbance (600nm)",0.199
"84","Sch_AE103_02","Flavobacterium",4,1827,"Absorbance (600nm)",0.226
"85","Sch_AE103_02","Flavobacterium",4,2120,"Absorbance (600nm)",0.225
"86","Sch_AE103_02","Flavobacterium",4,2449,"Absorbance (600nm)",0.257
"87","Sch_AE103_02","Flavobacterium",4,2722,"Absorbance (600nm)",0.292
"88","Sch_AE103_02","Flavobacterium",4,3034,"Absorbance (600nm)",0.303
"89","Sch_AE103_02","Flavobacterium",1,22,"ATP (nmol/cell)",2.92385063799069
"90","Sch_AE103_02","Flavobacterium",1,304,"ATP (nmol/cell)",1.65565560741295
"91","Sch_AE103_02","Flavobacterium",1,594,"ATP (nmol/cell)",0.202932526737318
"92","Sch_AE103_02","Flavobacterium",1,894,"ATP (nmol/cell)",0.280090745388694
"93","Sch_AE103_02","Flavobacterium",1,1231,"ATP (nmol/cell)",0.408612847826814
"94","Sch_AE103_02","Flavobacterium",1,1479,"ATP (nmol/cell)",0.479826368915565
"95","Sch_AE103_02","Flavobacterium",1,1794,"ATP (nmol/cell)",0.716568519808976
"96","Sch_AE103_02","Flavobacterium",1,2092,"ATP (nmol/cell)",0.509168422440483
"97","Sch_AE103_02","Flavobacterium",1,2421,"ATP (nmol/cell)",0.306552646654358
"98","Sch_AE103_02","Flavobacterium",1,2694,"ATP (nmol/cell)",0.280316041657882
"101","Sch_AE103_02","Flavobacterium",2,304,"ATP (nmol/cell)",0.371608080518166
"102","Sch_AE103_02","Flavobacterium",2,594,"ATP (nmol/cell)",0.552272450822347
"103","Sch_AE103_02","Flavobacterium",2,894,"ATP (nmol/cell)",1.66617186080886
"104","Sch_AE103_02","Flavobacterium",2,1231,"ATP (nmol/cell)",0.282383864199843
"105","Sch_AE103_02","Flavobacterium",2,1479,"ATP (nmol/cell)",0.610891737849234
"106","Sch_AE103_02","Flavobacterium",2,1794,"ATP (nmol/cell)",0.904604370029748
"107","Sch_AE103_02","Flavobacterium",2,2092,"ATP (nmol/cell)",0.160668707864072
"108","Sch_AE103_02","Flavobacterium",2,2421,"ATP (nmol/cell)",0.157963638195614
"109","Sch_AE103_02","Flavobacterium",2,2694,"ATP (nmol/cell)",0.115143903495588
"110","Sch_AE103_02","Flavobacterium",2,3012,"ATP (nmol/cell)",215.912366256732
"112","Sch_AE103_02","Flavobacterium",3,304,"ATP (nmol/cell)",0.929020201295415
"113","Sch_AE103_02","Flavobacterium",3,594,"ATP (nmol/cell)",0.290219984973406
"114","Sch_AE103_02","Flavobacterium",3,894,"ATP (nmol/cell)",0.347841799808229
